"requirement_id","source","priority","requirement","target_behavior","current_status","current_evidence","gap_or_conflict","implementation_scope","acceptance","external_gate"
"NAV-001","用户确认","P0","固定五个底部入口","首页、预约、点单、超嗨、我的各承担单一主任务","本地实现；需真机","miniprogram/app.json及五个页面","路由已固定；页面存在不等于微信发布完成","小程序导航与状态恢复","五入口在未登录、未扫码、已扫码和返回前台均可达","微信开发者工具、iOS/Android真机"
"NAV-002","两份PRD与用户反馈","P1","首页只展示当前阶段有效信息","未到店显示预约/演出/活动/权益摘要，已开台显示桌号/人数/演出/责任服务和短入口","本地实现；需现场取舍","miniprogram/pages/home；guest session/service/account APIs","未把完整任务和账单堆在首屏；异常摘要是否增加以真实顾客测试决定","首页状态投影与移动布局","320/390无溢出，服务端事实一致，异常三步内可达","真实顾客和岗位抽样"
"ORD-001","用户最终决定","P0","现场点单先扫码","无有效桌次时只显示扫码门禁，校验成功后才出现菜单、下单、服务和支付","本地实现；需真码真机","miniprogram/pages/order；session；guest-session-api","会员PRD 17.2的扫码前菜单建议被用户后续决定覆盖，本期明确排除","桌码、会话和点单门禁","无桌码写接口不可用；过期、跨店、闭桌失败关闭","官方桌码、微信相机真机"
"ORD-002","观察PRD 7；用户反馈","P1","点单层次清楚且信息密度合理","桌次和演出在前，最多三档推荐、分类菜单和固定购物车按任务排序","本地实现；需可用性验证","miniprogram/pages/order；移动契约","正式商品素材、弱网和真实顾客任务成功率未验收","点单页面、搜索分类和推荐卡","320至430宽度无溢出，三步内找到商品并加购","微信真机、顾客可用性测试"
"ORD-003","资金安全要求","P0","支付前库存/KDS隔离","支付待定只暂留库存/产能，成功只激活一次，失败/超时释放，unknown保留","本地实现；需真实设备资金","迁移047/060/065；commerce/payment/KDS强证据","自由JSON验真不能入账；真实渠道和KDS设备未验收","订单、支付、库存、产能、KDS","重复回调、unknown、超时和并发守恒；未付款零KDS","真实支付、KDS、进程重启和现场"
"UPG-001","用户确认","P0","升级只在付款前出现","购物车最终确认时一次展示，保持原单或原子替换后统一支付","本地实现；功能强制关闭","miniprogram order；guest-commerce；迁移053/089","非身份/桌次prepare失败降级原购物车；身份/桌次错误失败关闭","结账prepare与降级","无报价或准备失败不阻断原结账；绕过门禁无有效报价","正式菜单和经营签字"
"UPG-002","用户确认","P0","升级规则自由配置且默认关闭","来源/目标/人数/时段/场景/文案/优先级/毛利和状态由授权岗位版本化配置","本地实现；功能强制关闭","迁移089；CheckoutUpgradeManagementPanel；管理API","不可变版本、回滚草稿、三人发布和员工入口已补；缺真实参数","规则与产能配置工作台","起草、审批、发布、回滚和停用有不可变证据","三名真实岗位、正式菜单/BOM/成本"
"UPG-003","观察PRD 6；规范化要求","P0","升级前重验资格价格和履约","服务端重验价格、毛利、人数、结构、BOM、配方、库存、产能和规则版本","本地实现；功能强制关闭","迁移053/060/089；commerce-command；capacity repository","演出因素仅通过正式经营规则配置，不得临时硬编码","报价与订单事务","任一事实变化零订单/零暂留/零转换或返回重报价","高峰产能标定"
"UPG-004","资金与并发要求","P0","升级转换与订单原子提交","同事务锁报价、替换、建单、库存/产能暂留和转换，事务后才发支付","本地实现；需真实资金现场","commerce-command；迁移053/060/089；PG并发测试","代码闭环不等于生产开放","原子订单和恢复worker","同报价并发仅一单；任一步失败全回滚；unknown不误释放","真实资金、故障注入和营业现场"
"UPG-005","观察PRD 9","P1","记录升级展示、拒绝、接受和经营结果","追加记录viewed/declined/accepted/converted/invalidated并按订单行汇总实付退款和投诉","本地实现；需营业样本","迁移089；checkout upgrade events/analytics","真实顾客漏斗尚无数据","升级事件和经营读模型","事件幂等、金额与权威资金一致、升级替换不污染推荐归因","真实资金和营业样本"
