"案例编号","优先级","场景","主执行人","协作人","执行状态","开始时间","结束时间","业务对象ID","证据文件","实际结果","缺陷编号","复测结果","判定人"
"DR-01","P0","员工登录与六小时会话","全体员工","乌鸦","未执行","","","","","","","","李艳"
"DR-02","P0","岗位权限隔离","李艳","全岗位代表","未执行","","","","","","","","乌鸦"
"DR-03","P0","责任桌与候补配置","李艳","Tom/Jerry/Tyke","未执行","","","","","","","","护古"
"DR-04","P0","客人线上自选座位预约","客人扮演","李艳","未执行","","","","","","","","李艳"
"DR-05","P0","电话预约和撞台阻止","Tom","李艳","未执行","","","","","","","","李艳"
"DR-06","P0","临时到店开台与同行场景","Tom","李艳","未执行","","","","","","","","李艳"
"DR-07","P1","超建议人数开台","Jerry","李艳","未执行","","","","","","","","李艳"
"DR-08","P0","全屏点单先选桌并锁桌","Tom","乌鸦","未执行","","","","","","","","李艳"
"DR-09","P0","PIN退出后重新选桌","Tom","乌鸦","未执行","","","","","","","","李艳"
"DR-10","P0","静态二维码与菜单搜索","客人扮演","Tom","未执行","","","","","","","","李艳"
"DR-11","P1","快速选择与推荐差异","客人扮演","乌鸦","未执行","","","","","","","","李艳"
"DR-12","P0","客人自助下单与模拟支付","客人扮演","三沐/Tom","未执行","","","","","","","","李艳"
"DR-13","P0","员工协助点单与支付二维码","Jerry","三沐/客人扮演","未执行","","","","","","","","李艳"
"DR-14","P0","挂单消费","Jerry","三沐","未执行","","","","","","","","李艳"
"DR-15","P0","吧台与后厨分流","冷言志","申良良/Tom","未执行","","","","","","","","李艳"
"DR-16","P0","候补直接送达","Tyke","Tom","未执行","","","","","","","","李艳"
"DR-17","P1","出品超时与经理接管","冷言志","李艳","未执行","","","","","","","","护古"
"DR-18","P0","取消出品","李艳","冷言志/三沐","未执行","","","","","","","","护古"
"DR-19","P0","高频呼叫与重复合并","客人扮演","Tom","未执行","","","","","","","","李艳"
"DR-20","P0","个性化需求","客人扮演","Tom","未执行","","","","","","","","李艳"
"DR-21","P0","情绪只做桌面标记","客人扮演","Tom/李艳","未执行","","","","","","","","李艳"
"DR-22","P0","投诉与经理接管","客人扮演","Tom/李艳","未执行","","","","","","","","护古"
"DR-23","P1","生日服务隐私差异","客人扮演","付淳羽/李艳","未执行","","","","","","","","护古"
"DR-24","P0","转桌","Tom","李艳/三沐","未执行","","","","","","","","李艳"
"DR-25","P0","服务员离岗候补接管","Jerry","Tyke/李艳","未执行","","","","","","","","护古"
"DR-26","P0","赠送权限内执行","Tom","李艳","未执行","","","","","","","","李艳"
"DR-27","P0","赠送权限不足","Jerry","李艳","未执行","","","","","","","","乌鸦"
"DR-28","P0","AI开台缺少人数","李艳","乌鸦","未执行","","","","","","","","护古"
"DR-29","P0","AI延时派任务","李艳","Tom","未执行","","","","","","","","护古"
"DR-30","P0","AI越权资金操作","乌鸦","三沐/李艳","未执行","","","","","","","","护古"
"DR-31","P1","演出与点歌联动","付淳羽","阿金/客人扮演","未执行","","","","","","","","李艳"
"DR-32","P1","物理POS手工报送","三沐","李艳","未执行","","","","","","","","护古"
"DR-33","P1","现金收款","三沐","李艳","未执行","","","","","","","","护古"
"DR-34","P0","商品级部分退款","三沐","李艳","未执行","","","","","","","","护古"
"DR-35","P0","退款后恢复待收","三沐","李艳","未执行","","","","","","","","护古"
"DR-36","P0","未收清禁止结台","Tom","三沐/李艳","未执行","","","","","","","","李艳"
"DR-37","P0","翻台数据隔离","Tom","客人扮演","未执行","","","","","","","","乌鸦"
"DR-38","P0","营业日与交接","李艳","三沐/乌鸦","未执行","","","","","","","","护古"
"DR-39","P0","网络或系统短时不可用","李艳","三沐/服务员","未执行","","","","","","","","护古"
"DR-40","P0","明显醉酒或冲突","护古","李艳/服务员","未执行","","","","","","","","护古"
"DR-41","P0","受伤过敏或急救","护古","李艳/申良良/冷言志","未执行","","","","","","","","护古"
"DR-42","P0","停电火警或强制疏散","护古","李艳/阿金/三沐","未执行","","","","","","","","护古"
