"TC编号","优先级","情况与关键步骤","预期结果","历史状态","当前候选状态","工程覆盖度","执行版本","执行方式","责任人","证据级别","测试文件/引用","证据提交SHA","运行ID","镜像摘要","证据/待办"
"PER-001","P0","新员工入职：乌鸦创建员工、分配最小岗位、四位PIN和首个班次","只能看到岗位所需页面；员工、角色、授权、班次和创建人均有审计","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、乌鸦","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-002","P0","员工离职：营业前停用账号和未来班次，再尝试登录","登录立即拒绝；历史订单、支付、赠送、任务和投诉仍显示原操作者，不被改名或删除","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、乌鸦","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-003","P1","员工临时停职后恢复","停职期间不能登录/接单；恢复必须由授权人操作并产生两次审计事件","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、乌鸦","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-004","P0","PIN输错、连续失败、锁定和管理员解锁","不泄露账号是否存在；达到阈值锁定；解锁留操作者、原因和时间；原PIN不显示","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、乌鸦","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-005","P0","员工共享PIN或代操作演练","系统审计能定位实际账号；现场判定失败并立即更换PIN，不允许补签冒充本人动作","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、乌鸦","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-006","P1","当日首次设备输入门店口令，随后Tom切换Jerry","门店口令只验证一次；员工切换仍须本人PIN；跨日或会话失效后重新验证门店口令","通过","未执行","历史通过/待本版逐条追溯","1.0.0-rc.94","历史证据/待当前回归","李艳、乌鸦","领域级历史证据","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","authorization、pilot-auth、presence、multi-role及staff-access-matrix自动化回归"
"PER-007","P1","李艳营业前请假，护古指定当晚值班负责人","排班、升级链、审批和闭店责任更新；所有员工端看到同一生效版本","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、乌鸦","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-008","P1","护古缺勤，李艳负责日常经营、重大事项升级陈方宇","不自动扩大李艳额度；超限必须到陈方宇；缺勤和代理范围有有效期","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、乌鸦","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-009","P1","陈方宇无法在线，出现超运营负责人限额事项","系统不得绕过上限；事项保持待处理或执行已发布的应急规则，不能口头伪造批准","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、乌鸦","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
"PER-010","P1","Tom迟到，休闲/散客/卡座尚无主责","Tyke自动/人工接管，李艳可见责任缺口；Tom到岗后显式交还，不出现双主责","未执行","未执行","代码支持/待现场验证","1.0.0-rc.94","门店现场执行","李艳、乌鸦","待执行","","see-ci-quality-ledger","see-ci-quality-ledger","see-release-manifest","必须由对应真实岗位在门店设备和网络下执行，记录业务对象ID、审计事件和脱敏截图"
