"编号","源文件","行","原文/定位片段","建议表达或交互","处理方式","必须保留的含义/要求"
"COPY-01","src/normalized-ui/StaffModulePanel.tsx","541","下方是对应业务模块的实时数据","按本页任务直接办理；数据状态和结果在对应记录中查看。","简化","删除服务端复验说明；是否实时须与刷新机制一致"
"COPY-02","src/normalized-ui/ActivityOperationsPanel.tsx","465","发布后不可静默修改","发布后修改需重新确认","替换","保留发布后变更限制"
"COPY-03","src/normalized-ui/ActivityOperationsPanel.tsx","489","旧字段没有规则版本、预算和发放状态机","活动积分请在会员规则中设置；当前表单不发放积分。","替换","删掉实现历史，保留功能范围"
"COPY-04","src/normalized-ui/CatalogManagementPanel.tsx","962","强类型运行门禁","只在所选演出阶段提供；不选择则不限阶段。","替换","说明选择会产生什么影响"
"COPY-05","src/normalized-ui/CatalogManagementPanel.tsx","935","显示高级字段","更多设置（供应、标签与渠道）","替换","字段改为设置"
"COPY-06","src/normalized-ui/CatalogManagementPanel.tsx","949","one_set,stay_longer","改为可多选的中文场景选项","改交互","不能只替换提示而仍要求输入内部枚举"
"COPY-07","src/normalized-ui/CatalogManagementPanel.tsx","871","第 4–5 步","统一成四步流程的当前步骤","统一","与正文第2–4步及保存区第5步冲突"
"COPY-08","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","147","成为运行事实","产能草稿已保存，经审批和发布后生效。","替换","保存不等于生效"
"COPY-09","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","183","最低毛利（基点）","最低毛利率（%）","改交互","显示百分比，提交时精确转为基点"
"COPY-10","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","192","unit=""万分比""","相对加价上限（%）","改交互","保持比例往返一致"
"COPY-11","src/normalized-ui/CheckoutUpgradeManagementPanel.tsx","191","unit=""分""","金额统一填写元","改交互","包括最多加价和两项贡献额，不只改单位字样"
"COPY-12","src/normalized-ui/RecommendationPolicyManagementPanel.tsx","70","最低毛利基点","最低毛利率（%）","改交互","接口仍保留准确整数单位"
"COPY-13","src/normalized-ui/RecommendationPolicyManagementPanel.tsx","156","最低置信度基点","最低匹配把握（%）","改交互","需补充低于阈值时不推荐的含义"
"COPY-14","src/normalized-ui/RecommendationPolicyManagementPanel.tsx","155","仅保存强类型经营参数","保存草稿后，由其他人员审核，再由第三人发布。","替换","保留不同人员要求"
"COPY-15","src/normalized-ui/RecommendationPolicyManagementPanel.tsx","141","硬性可售门禁","仅推荐当前演出阶段、库存和出品能力允许的商品；这三项不参与权重设置。","替换","保留真正业务约束"
"COPY-16","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","135","不用展示快照推断金额","金额按订单、退款和成交时成本计算。","替换","金额口径保留，去掉内部数据结构"
"COPY-17","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","179","来店场景（同桌事实）","同桌客人的来店场景","替换","仍需明确统计对象"
"COPY-18","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","189","缺事件时点分群事实","部分记录缺少当时的客群信息","替换","说明缺失数据而非填零"
"COPY-19","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","288","正在读取经营事实","正在读取经营数据…","替换","常用业务词"
"COPY-20","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","247","不代表由本次推荐造成","保留因果限制，用“同桌后续付款不代表本次推荐促成”表达","保留并简化","避免将相关性当作推荐业绩"
"COPY-21","src/normalized-ui/CustomerExperienceManagementPanel.tsx","1092","每多少分消费","每消费多少元","改交互","同步转换分与元，保留积分/成长值区分"
"COPY-22","src/normalized-ui/CustomerExperienceManagementPanel.tsx","402","请输入 ISO 格式","改用北京时间日期与时间选择器","改交互","覆盖权益、等级、目录、条款、基础积分的发布时间"
"COPY-23","src/normalized-ui/AnnualBenefitManagementPanel.tsx","167","使用 ISO 格式","改用北京时间日期与时间选择器","改交互","年度礼遇发布同样处理"
"COPY-24","src/normalized-ui/CustomerExperienceManagementPanel.tsx","746","客户端勾选","前往规则审批，查看影响后由其他管理者审核。","替换并修复导航","不能只改文字；SYS-289必须同步处理"
"COPY-25","src/normalized-ui/CustomerExperienceManagementPanel.tsx","1016","服务端持久化的限时影响预览","请先查看本次修改对会员和成本的影响，再审批。","替换","界面显示预览有效截止时间"
"COPY-26","src/normalized-ui/CustomerExperienceManagementPanel.tsx","444","生效运行完全使用强类型规则","已发布规则及生效时间","替换","从内部实现改为可查结果"
"COPY-27","src/normalized-ui/CustomerExperienceManagementPanel.tsx","213","终态记录不能直接改回可用","已完成或已取消的记录不能直接恢复使用。","替换","需要补救时提供对应入口"
"COPY-28","src/normalized-ui/CustomerExperienceManagementPanel.tsx","882","及对应商品、活动、服务或权益事实","交付已登记，可在记录中查看商品、活动或权益明细。","替换","不把登记等同于真实实物交付"
"COPY-29","src/normalized-ui/CustomerExperienceManagementPanel.tsx","943","config?.control.state","关闭 / 试点开放 / 正式开放 / 已暂停","枚举翻译","按disabled/pilot/enabled/paused映射并设置未知兜底"
"COPY-30","src/normalized-ui/CustomerExperienceManagementPanel.tsx","430","SILVER_WELCOME","规则编号自动生成；员工填写可读规则名称","改交互","老编号仍保留以支持追溯"
"COPY-31","src/normalized-ui/AnnualBenefitManagementPanel.tsx","347","所有终态动作均复验桌台权限并写审计","自动重试已停止，请选择重新派发、取消，或登记线下补偿。","替换","补偿仍须真实凭据，不删审计约束"
"COPY-32","src/normalized-ui/AnnualBenefitManagementPanel.tsx","323","item.benefitKind","显示权益类型中文名称","枚举翻译","未识别类型显示待核对"
"COPY-33","src/normalized-ui/AnnualBenefitManagementPanel.tsx","319","GOLD_BIRTHDAY","生日礼遇名称由员工填写，规则编号自动生成","改交互","避免要求记忆代码格式"
