"路由","页面标题","账号数","访问次数","记录状态数","实际切换分区","脚本错误","接口错误","横向溢出像素","发现问题","覆盖边界"
"/","陈方宇 / 现在要做什么 / 待办事项 / 营业状态与待处理","13","17","34","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/orders","订单中心 / 2026-09-20 全店已入账资金 / 历史订单与送达状态","13","17","34","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/live","找到桌台，直接处理 / 室外区域","13","17","34","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/tasks","只看需要服务的事 / 待处理商品","9","12","24","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/fulfillment","只做当前下一步","10","14","28","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/reservations","确认预约与到店","11","15","30","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/payments","收银与退款 / 待处理商品","13","17","34","","","","","SYS-299、SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/performance","演出与点歌 / 本月已发布 / 点歌待办","10","13","26","","","","","SYS-303","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/inventory","库存与酒水上架 / 盘点复核","6","10","39","收货与库存、商品与上架、会员存酒","","","","SYS-287、SYS-288、SYS-290、SYS-300、SYS-302","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/operations","经营数据","4","8","16","","","","","SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/customer-experience","客户体验与活动","5","9","61","活动报名、首页内容、体验分析、推荐与升级规则、联系方式管理","","","","SYS-295、SYS-298、SYS-299、SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-fulfillment","会员权益待办","7","10","20","","","","","SYS-289、SYS-291、SYS-292、SYS-299","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-exceptions","会员权益异常","4","7","14","","","","","SYS-289、SYS-291","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-overview","会员等级与权益","5","9","18","","","","","SYS-289、SYS-291、SYS-298","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-rule-drafts","会员规则草稿","1","2","4","","","","","SYS-293、SYS-294、SYS-295、SYS-298、SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-rule-approvals","待审批会员规则","1","2","4","","","","","SYS-293、SYS-295","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-rule-publish","会员规则发布","1","2","4","","","","","SYS-293、SYS-301","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-accounts","会员账户查询","4","7","14","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/member-management","其他会员经营配置","5","9","54","权益与兑换、会员通知、规则与条款、账户恢复、存酒办理、会员卡","","lengyanzhi:/api/catalog/products=403","65","SYS-289、SYS-292、SYS-293、SYS-294、SYS-295、SYS-296、SYS-297、SYS-299、SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/devices","设备与打印 / 自动打印单据 / 票据生成检查","5","9","18","","","","","","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
"/staff/settings","系统配置状态 / 管理员控制中心 / 岗位权限","4","8","16","","","","","SYS-300","已检查页面入口、只读展开和可见表达；交易/审批/设备结果须分别验证"
