"运行","账号","页面","展开状态","控件","名称","禁用","宽","高","缺少可计算名称","证据边界"
"default-390","chenfangyu","/","initial","button","刷新工作台","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","陈方宇，切换账号","false","58","66","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","现场","false","179","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","收银与退款","false","179","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","刷新待办","false","90","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","现在可处理","false","106","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","等待处理","false","90","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","select","待办业务","false","54","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","summary","查询范围与更多记录","false","366","46","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","全部退款记录","false","122","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","全部打印失败记录","false","154","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","summary","营业概况","false","366","46","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","营业桌台1 项进行中1进行中","false","366","63","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","经营分析","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","现场","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","收银与退款","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","库存","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","initial","button","全部岗位入口","false","76","56","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","刷新工作台","false","44","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","陈方宇，切换账号","false","58","66","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
"default-390","chenfangyu","/","disclosures","button","现场","false","179","44","false","渲染实例；只读展开不代表写操作已验收，同名控件不自动绑定源代码行"
