编号,原文或原字段,建议展示,场景,调整方法,证据文件,证据行号,状态,实现证据
TERM-01,规范化数据库,从业务页面删除,开发实现,删除,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,1686,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-02,每次调整要求原因、版本校验、幂等键和审计记录,修改时填写原因；系统保留操作记录,支付配置说明,改写并保留原控制,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,1691,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-03,演员资料和歌单分别保存，避免旧整块JSON覆盖。,演员资料和歌单需分别保存,演出资料,删除技术原因,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,797,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-04,岗位工作面,工作台,模块标题,统一用词,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,523,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-05,上一营业日阻断的具体事实,上一营业日尚未完成的事项,跨营业日事项,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/StaffModulePanel.tsx,535,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-06,权威事实正在确认,正在确认处理结果,收银异常,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CashierAfterSalesWorkbench.tsx,516,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-07,日结阻断事实,影响营业日结账的待办,日结,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CashierAfterSalesWorkbench.tsx,540,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-08,活动报名事实,活动报名记录,活动收银,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CashierAfterSalesWorkbench.tsx,1098,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-09,收款、退款与受控重收,收款、退款与再次收款,售后处理,改写并保留授权,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/CashierAfterSalesWorkbench.tsx,1103,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-10,当前仍显示上次成功数据,显示上次数据，并标注最后成功更新时间,网络错误,保留并具体化,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/NormalizedStaffWorkspace.tsx,254,已实施；原词逐项核对移除；本地验证，现场待验,OP-05：离线、刷新失败、恢复浏览器验证
TERM-11,出品履约,制作与送达,出品标题,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/staff-actions/StaffActionsPanel.tsx,1056,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-12,桌台颜色和角标来自本地账务状态，支付渠道查询不会阻塞桌台列表。,有待核对的款项；查看详情继续处理,桌台异常提示,由实际状态生成,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/staff-actions/StaffActionsPanel.tsx,1097,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
TERM-13,被移动顾客的旧桌会话立即失效，必须扫描目标桌二维码,转桌后请让顾客扫描新桌二维码,拆并桌,改写,/Users/jingda/mbox/mbox-ux-audit-20260920/src/normalized-ui/staff-actions/ParticipantMovementSheet.tsx,131,已实施；原词逐项核对移除；本地验证，现场待验,原证据文件已改写；36项原文残留检查通过
