编号,原位置,原表达或锚点,处理,修后表达或操作,状态,验证,源码,修后锚点
COPY-01,StaffModulePanel.tsx,下方是对应业务模块的实时数据,简化,按本页任务直接办理；数据状态和结果在对应记录中查看。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/StaffModulePanel.tsx:544,按本页任务直接办理；处理结果在对应记录中查看。
COPY-02,ActivityOperationsPanel.tsx,发布后不可静默修改,替换,发布后修改需重新确认,已调整并核对,源码与既有文案契约核对,src/normalized-ui/ActivityOperationsPanel.tsx:465,发布后修改需重新确认
COPY-03,ActivityOperationsPanel.tsx,旧字段没有规则版本、预算和发放状态机,替换,活动积分请在会员规则中设置；当前表单不发放积分。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/ActivityOperationsPanel.tsx:489,活动积分请在会员规则中设置；当前表单不发放积分。
COPY-04,CatalogManagementPanel.tsx,强类型运行门禁,替换,只在所选演出阶段提供；不选择则不限阶段。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CatalogManagementPanel.tsx:972,只在所选演出阶段提供；不选择则不限阶段。
COPY-05,CatalogManagementPanel.tsx,显示高级字段,替换,更多设置（供应、标签与渠道）,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CatalogManagementPanel.tsx:945,更多设置（供应、标签与渠道）
COPY-06,CatalogManagementPanel.tsx,"one_set,stay_longer",改交互,改为可多选的中文场景选项,已调整并核对,可读输入控件及自动编号源码核对；历史编号字段仍保留,src/normalized-ui/CatalogManagementPanel.tsx:959,听一场演出
COPY-07,CatalogManagementPanel.tsx,第 4–5 步,统一,按现有原子入库流程统一为：建物料/收货草稿→销售规格与配方→生成预览→确认入库并发布。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CatalogManagementPanel.tsx:881,第 2–4 步：销售规格、预览与上架核对
COPY-08,CheckoutUpgradeManagementPanel.tsx,成为运行事实,替换,产能草稿已保存，经审批和发布后生效。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CheckoutUpgradeManagementPanel.tsx:149,产能草稿已保存，经另一人审批和第三人发布后生效。
COPY-09,CheckoutUpgradeManagementPanel.tsx,最低毛利（基点）,改交互,最低毛利率（%）,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/CheckoutUpgradeManagementPanel.tsx:185,"<ScaledNumberField label=""最低毛利率"""
COPY-10,CheckoutUpgradeManagementPanel.tsx,"unit=""万分比""",改交互,相对加价上限（%）,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/CheckoutUpgradeManagementPanel.tsx:194,"<ScaledNumberField label=""相对加价上限"
COPY-11,CheckoutUpgradeManagementPanel.tsx,"unit=""分""",改交互,金额统一填写元,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/CheckoutUpgradeManagementPanel.tsx:193,"<ScaledNumberField label=""最多加价"" unit=""元"""
COPY-12,RecommendationPolicyManagementPanel.tsx,最低毛利基点,改交互,最低毛利率（%）,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/RecommendationPolicyManagementPanel.tsx:166,<ScaledNumberField
COPY-13,RecommendationPolicyManagementPanel.tsx,最低置信度基点,改交互,最低匹配把握（%）,已调整并核对,精确金额单测及 SYS-298 浏览器真实保存回读,src/normalized-ui/RecommendationPolicyManagementPanel.tsx:142,匹配把握低于设定比例时
COPY-14,RecommendationPolicyManagementPanel.tsx,仅保存强类型经营参数,替换,保存草稿后，由其他人员审核，再由第三人发布。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/RecommendationPolicyManagementPanel.tsx:156,保存草稿后，由其他人员审核，再由第三人发布。
COPY-15,RecommendationPolicyManagementPanel.tsx,硬性可售门禁,替换,仅推荐当前演出阶段、库存和出品能力允许的商品；这三项不参与权重设置。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/RecommendationPolicyManagementPanel.tsx:142,仅推荐当前演出阶段、库存和出品能力允许的商品
COPY-16,CustomerExperienceAnalyticsPanel.tsx,不用展示快照推断金额,替换,金额按订单、退款和成交时成本计算。,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx:135,金额按订单、退款和成交时成本计算
COPY-17,CustomerExperienceAnalyticsPanel.tsx,来店场景（同桌事实）,替换,同桌客人的来店场景,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx:179,同桌客人的来店场景
COPY-18,CustomerExperienceAnalyticsPanel.tsx,缺事件时点分群事实,替换,部分记录缺少当时的客群信息,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx:189,部分记录缺少当时的客群信息
COPY-19,CustomerExperienceAnalyticsPanel.tsx,正在读取经营事实,替换,正在读取经营数据…,已调整并核对,源码与既有文案契约核对,src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx:288,正在读取经营数据
