"源文件","行","函数","直接识别的API调用","状态/反馈调用","所属文件问题","证据边界"
"src/components/CustomerPaymentCodeScanner.tsx","42","accept","","setCode(value)
setCameraState('detected')
setCameraDetail('请核对本次收款金额，再确认发起收款。')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/CustomerPaymentCodeScanner.tsx","52","startFallback","","setCameraDetail('已启用兼容识码；请出示顾客付款码，不是个人收款二维码。')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/CustomerPaymentCodeScanner.tsx","69","unavailable","","setCameraState('unavailable')
setCameraDetail(name === 'NotAllowedError' || name === 'SecurityError' ? '摄像头未获授权，请允许后重新打开；也可使用扫码枪或改用其他收款方式。' : name === 'NotReadableError' ? '摄像头可能被其他应用占用；请关闭占用应用后重试，或使用扫码枪。' : '当前设备无法启动识码；请使用扫码枪、输入顾客付款码或改用其他收款方式。')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/CustomerPaymentCodeScanner.tsx","81","startCamera","","setCameraState('ready')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/CustomerPaymentCodeScanner.tsx","135","submit","","setError('请重新扫描有效的微信、支付宝或云闪付付款码')
setError('')
setSubmitting(true)
setCode('')
setError(submitError instanceof Error ? submitError.message : '付款码收款发起失败')
setSubmitting(false)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/GuestRecommendationTools.tsx","218","closeSheet","","setActiveSheet(null)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/GuestRecommendationTools.tsx","223","openQuickSelection","","setDraftContext(context)
setQuestionIndex(0)
setActiveSheet('quick')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/GuestRecommendationTools.tsx","230","openShake","","setActiveSheet('shake')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/GuestRecommendationTools.tsx","240","answerQuestion","","setDraftContext(nextContext)
setQuestionIndex((current) => current + 1)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","279","updateClock","","setClock(Date.now() + clockOffsetMs)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","513","changeGuestMenuView","","setGuestMenuView(view)
setSearchQuery('')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","519","updateRecommendationContext","","setRecommendationFeedback('收到，正在按你的选择重新安排')
setRecommendationContext(context)
setRecommendationUpdateVersion((current) => current + 1)
setGuestMenuView('recommend')
setShakeProductId('')
setShakeProductIds([])","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","538","requestShakeRecommendation","","setShakeProductId(selected.product.id)
setShakeProductIds((current) => [...current, selected.product.id].slice(-3))","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","549","openProductDetail","","setEditingBundleUnit(null)
setDetailProductId(product.id)
setDetailChoiceSelections({})","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","562","changeQuantity","","setPendingProductId(productId)
setPendingBundleSelections([])
setConfirmationError('')
setConfirmation('continue')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","585","applyQuantityChange","","setProductQuantity(productId, (cart[productId] ?? 0) + delta, delta > 0 ? 'product_added' : 'product_removed')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","590","setProductQuantity","","setCartMutating(true)
setCartAdjustmentError('')
setCartAdjustmentError(error instanceof Error ? error.message : '购物车暂时没有更新，请稍后再试。')
setCartMutating(false)
setPersistedCart((current) => { if (nextQuantity === 0) { const next = { ...current } delete next[productId] return next } return { ...current, [productId]: nextQuantity } })
setLocalBundleSelections((current)=>{ const existing=current[productId]??[] const selections=delta>0?[...existing,...addedBundleSelections]:existing.slice(0,Math.max(0,existing.length+delta)) if(selections.length===0){ const next={...current};delete next[productId];return next } return { ...current,[productId]:selections } })
setItemNotes((current) => { const next = { ...current } delete next[productId] return next })
setUpgradePromptProductId(product.recommendation.upgradeProductId)
setUpgradeSourceProductId(product.id)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","656","addConfiguredBundle","","setCartMutating(true)
setCartAdjustmentError('')
setLocalBundleSelections((current)=>({ ...current,[product.id]:(current[product.id]??[]).map( (selection,index)=>index===editingBundleUnit.unitIndex?unit:selection, ) }))
setDetailProductId('')
setDetailChoiceSelections({})
setEditingBundleUnit(null)
setCartAdjustmentError(error instanceof Error?error.message:'套餐选择暂时没有更新，请稍后再试。')
setCartMutating(false)
setPendingProductId(product.id)
setPendingBundleSelections(addedSelections)
setConfirmationError('')
setConfirmation('continue')
setProductQuantity(product.id,(cart[product.id]??0)+1,'product_added',addedSelections)
setDetailProductId('')
setDetailChoiceSelections({})","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","695","editBundleUnit","","setDetailChoiceSelections(Object.fromEntries(unit.groups.map((group)=>[group.groupId,[...group.productIds]])))
setEditingBundleUnit({ productId:product.id,unitIndex })
setDetailProductId(product.id)","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","703","toggleDetailChoice","","setDetailChoiceSelections((current)=>{ const selected=current[groupId]??[] if(selected.includes(productId))return { ...current,[groupId]:selected.filter((id)=>id!==productId) } if(selectionCount===1)return { ...current,[groupId]:[productId] } if(selected.length>=selectionCount)return current return { ...current,[groupId]:[...selected,productId] } })","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","713","removeProduct","","setProductQuantity(productId,0,'product_removed')
setCartMutating(true)
setCartAdjustmentError('')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","728","submit","","setConfirmationError('')
setConfirmation('submit')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","738","executeSubmit","","setPersistedCart({})
setLocalBundleSelections({})
setFulfillmentNote('')
setItemNotes({})
setCartOpen(false)
setLastSubmittedAt(Date.now())
setConfirmation(null)
setConfirmationError('')
setConfirmedDuplicateOrderId('')
setConfirmedDuplicateOrderId(typeof conflictingOrderId === 'string' ? conflictingOrderId : '')
setConfirmationError(error.message)
setConfirmation('duplicate')
setConfirmationError(error instanceof Error ? error.message : '订单没有提交，请核对后再试一次')
setConfirmation('submit')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/components/MenuOrderingWorkspace.tsx","776","confirmContinuation","","setProductQuantity( pendingProductId, (cart[pendingProductId] ?? 0) + 1, 'product_added', pendingBundleSelections, )
setDetailProductId('')
setDetailChoiceSelections({})
setProductQuantity(pendingProductId,(cart[pendingProductId]??0)+1,'product_added')
setPendingProductId('')
setPendingBundleSelections([])
setConfirmation(null)
setConfirmationError('')","","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","157","loadActivities","api.getEndpoint<{ data: unknown }>('/api/staff/activity-operations')","setPhase('loading')
setNotice('')
setActivities(loaded)
setPhase('ready')
setNotice(message(error, '活动运营数据读取失败'))
setPhase('error')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","170","loadDetail","api.getEndpoint<{ data: unknown }>(`/api/staff/activity-operations/${encodeURIComponent(publicId)}`)","setRevealedContacts({})
setDetail(null)
setDraft(null)
setReason('')
setCreateUncertain(false)
setBusy('detail')
setNotice('')
setSelected(publicId)
setDetail(loaded)
setDraft(loaded.activity.status === 'draft' ? draftFromActivity(loaded.activity) : null)
setNotice(message(error, '活动详情读取失败'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","185","saveDraft","","setBusy('draft')
setNotice('')
setCreateUncertain(true)
setCreateUncertain(false)
setSelected(saved.publicId)
setDetail({ activity: saved, registrations: [] })
setDraft(draftFromActivity(saved))
setNotice(isNew ? '活动草稿已建立并读回。请由另一位有发布权限的人员复核后发布。' : '活动草稿已保存并读回。发布后这些客户承诺将锁定。')
setCreateUncertain(false)
setNotice(message(error, '草稿结果尚未确认，请核对上次建立结果'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","224","registrationAction","api.postEndpoint( `/api/staff/activity-operations/registrations/${encodeURIComponent(registration.publicId)}/${action}`, { reason: normalizedReason }, { idempotencyKey: operationKey(`activity-${action}`) }, )","setNotice('请先填写本次操作原因（至少2个字）')
setBusy(`${registration.publicId}:${action}`)
setNotice('')
setReason('')
setNotice(action === 'check-in' ? '签到已确认；如有套餐，库存仍为暂留，待实际交付后再登记出库。' : action === 'fulfill-package' ? '套餐交付已登记，库存已按暂留数量实扣并写入流水。' : action === 'no-show' ? '已标记未到。' : '报名已取消；仅明确释放的名额会进入候补递补。')
setNotice(message(error, '报名操作没有完成'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","243","setPackageAvailability","api.postEndpoint( `/api/staff/activity-operations/${encodeURIComponent(activity.publicId)}/packages/${encodeURIComponent(activityPackage.publicId)}/${operation}`, { reason: normalizedReason }, { idempotencyKey: operationKey(`activity-package-${operation}`) }, )","setNotice('请先填写套餐上下架原因（至少2个字）')
setBusy(`package:${activityPackage.publicId}:${operation}`)
setNotice('')
setReason('')
setNotice(operation === 'pause' ? '套餐已暂停，新报名不可再选择；既有报名承诺不受影响。' : '套餐已恢复展示；顾客端仍会按名额、售卖窗口和库存逐项判断可订状态。')
setNotice(message(error, '套餐上下架没有完成'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","266","refundAction","api.postEndpoint(endpoint, action === 'approve' || action === 'reject' || action === 'request' ? { reason: normalizedReason } : {}, { idempotencyKey: operationKey(`activity-refund-${action}`) })","setNotice('请先填写退款原因或复核说明（至少2个字）')
setBusy(`${registration.publicId}:refund-${action}`)
setNotice('')
setReason('')
setNotice(action === 'request' ? '退款已由店长发起，等待收银复核。' : action === 'approve' ? '退款已复核通过，仍需执行并等待渠道确认。' : action === 'reject' ? '退款申请已驳回。' : action === 'execute' ? '退款已提交渠道，尚未确认成功前不会标记已退款。' : '已向渠道查询退款状态。')
setNotice(message(error, '退款操作没有完成'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","292","queryPayment","api.postEndpoint(`/api/payments/${registration.paymentId}/provider-query`, {}, { idempotencyKey: operationKey('activity-payment-query'), })","setBusy(`${registration.publicId}:payment-query`)
setNotice('')
setNotice('已向渠道查单，请按权威结果继续处理。')
setNotice(message(error, '支付查单没有完成'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","304","revealContact","api.postEndpoint<unknown>( `/api/staff/activity-contacts/${encodeURIComponent(registration.contactVersionPublicId)}/reveal`, {purpose},{idempotencyKey:operationKey(`activity-contact-${purpose}`)}, )","setBusy(`${registration.publicId}:contact`)
setNotice('')
setContactClock(Date.now())
setRevealedContacts((contacts)=>({...contacts,[registration.publicId]:{value:contactValue,expiresAt}}))
setNotice('联系方式仅在当前页面短暂显示，离开或到期后自动清除。')
setNotice(message(error,'联系方式未能安全读取'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","326","startCreate","","setRevealedContacts({})
setReason('')
setCreateUncertain(true)
setCreateUncertain(false)
setNotice(message(error, '无法读取本机草稿，请核对原记录'))
setSelected(null)
setDetail({ activity: draftShell(nextDraft), registrations: [] })
setDraft(nextDraft)
setNotice(createAttempt.current ? '上次建立结果待核对，已恢复原资料。点击核对会沿用原操作，不会另建活动。' : '正在建立新活动草稿。费用、权益、退款和安全承诺请一次填写完整。')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","346","stopRegistration","api.postEndpoint(`/api/staff/activity-operations/${encodeURIComponent(activity.publicId)}/stop-registration`,{reason:submittedReason},{idempotencyKey:closeAttempt.current.key})","setNotice('请先填写至少2个字的操作原因')
setBusy('stop-registration')
setNotice('已停止新报名；请继续处理原有名单与收退款，处理完毕后再结束活动。')
setNotice(message(error,'停止报名结果尚未确认，请刷新核对'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","364","closeActivity","api.postEndpoint(`/api/staff/activity-operations/${encodeURIComponent(activity.publicId)}/close`, {status,reason:submittedReason},{idempotencyKey:closeAttempt.current.key})","setNotice('请先填写至少2个字的操作原因')
setBusy('close')
setNotice('')
setNotice('活动已结束并保留原报名与资金记录。')
setNotice(message(error,'活动尚未结束，请检查剩余待办'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","384","publishActivity","api.postEndpoint(`/api/staff/activity-operations/${encodeURIComponent(activity.publicId)}/publish`, {}, { idempotencyKey: operationKey('activity-publish'), })
api.getEndpoint<{ data: unknown }>('/api/staff/activity-operations')","setBusy('publish')
setNotice('')
setNotice('活动已由发布人员复核发布，顾客端将按当前承诺展示。')
setActivities(activityList(response.data))
setNotice(message(error, '活动没有发布'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","403","retryWaitlistPromotion","api.postEndpoint<{ activityPublicId: string; state: 'queued' | 'not_required' }>( `/api/staff/activity-operations/${encodeURIComponent(activity.publicId)}/waitlist-retry`, { reason: normalizedReason }, { idempotencyKey: operationKey('activity-waitlist-retry') }, )","setNotice('请先填写候补任务重试原因（至少2个字）')
setBusy('waitlist-retry')
setNotice('')
setReason('')
setNotice(result.state === 'queued' ? '候补任务已进入下一轮系统处理；系统仍会按报名时间和可用名额自动递补。' : '当前没有待重试的候补任务；有名额释放时系统会自动建立并处理候补任务。')
setNotice(message(error, '候补任务没有进入重试队列'))
setBusy('')","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","427","refreshSelected","api.getEndpoint<{ data: unknown }>('/api/staff/activity-operations')","setActivities(activityList(response.data))","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","433","updateDraft","","setDraft((current) => ( current === null ? null : { ...current, [key]: value } ))","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","436","updatePackage","","setDraft((current) => { if (current === null) return null return { ...current, packages: current.packages.map((activityPackage, currentIndex) => ( currentIndex === index ? { ...activityPackage, [key]: value } : activityPackage )) } })","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","442","addPackage","","setDraft((current) => current === null ? null : { ...current, packages: [...current.packages, emptyPackage(current.capacity)], })","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/ActivityOperationsPanel.tsx","445","removePackage","","setDraft((current) => current === null ? null : { ...current, packages: current.packages.filter((_, currentIndex) => currentIndex !== index), })","SYS-300","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","130","updateRule","","setDraftRule((current) => ({ ...current, ...patch }))","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
"src/normalized-ui/AnnualBenefitManagementPanel.tsx","131","changeKind","","setDraftRule((current) => ruleForKind({ ...current, ruleKind }))","SYS-291、SYS-299","命名函数索引；共享包装器、内联回调和派生状态仍须结合源文件及所属流程，API数组为空不等于没有写操作"
