编号,场景,操作或不变量,证据层级,结论,依据
S01,开台与分区,30桌各4人、四个服务账号负责分区,本轮HTTP,通过,audit-120-guests.ts
S02,7岗位身份,1厨师1调酒3服务员1兼服务店长1收银实际登录,本轮HTTP,通过；沿用配置角色非实际排班,fixture.json
S03,集中下单,120订单同时提交与30服务任务交错,本轮HTTP,120单各一次；详性能数据,run-final.json
S04,重复订单提交,12条原键回执重放,本轮HTTP,无重复订单,run-final.json
S05,酒食分站,120杯酒120份食品进入对应制作站,本轮HTTP,240品项；高峰死锁见SIM120-11,run-final.json
S06,按份合批,24桌共120份食品、3+2分批,本轮数据库,数量守恒,audit-120-fulfillment.test.ts
S07,分盘重放,48次并发分盘及原键重放,本轮数据库,不重复耗料,audit-120-fulfillment.test.ts
S08,取走视为送达,4个仅具取送权员工按份取走,本轮数据库,120份delivered；不要求额外确认,audit-120-fulfillment.test.ts
S09,现金与出品同时,收款与制作争用同桌订单,本轮HTTP+双事务,失败：SIM120-11,cash-kds-deadlock-evidence.json
S10,重复现金记账,原键重放及失败后顺序恢复,本轮HTTP,恢复后不重收,run-final.json
S11,服务补偿退款,12次异人申请批准执行并重放,本轮HTTP,12笔12元；分录各一,snapshot.json
S12,退款权限,自审、超原收款、原渠道及金额币种边界,本轮71项原有回归,通过限定用例,combined-tests.log
S13,未付退品,数量停止与预留释放,复用同SHA已有专项+本轮交叉,不独立声称全部本轮重跑,audit-120-money-20260921.md
S14,套餐退部分,40元套餐退后按单点44元,本轮数据库+原API,失败：SIM120-01欠4元仍关桌,audit-120-money.test.ts
S15,部分付款再退,40元收16退8后有效应收32净收8,本轮数据库,失败：SIM120-01/03欠24元被漏报,audit-120-money.test.ts
S16,数量退款再补偿,退8元后补偿1元,本轮数据库+票据,失败：SIM120-02假欠1元,audit-120-money.test.ts
S17,日结待收,有效应收与净收及授权状态,本轮数据库,失败：SIM120-03实际24报16,audit-120-money.test.ts
S18,待付款不得实收,30个共享车新单等待模拟付款,本轮HTTP+SQL,核对最终收款分录,snapshot.json
S19,待付款不制作,待付款订单不发出KDS,本轮HTTP+SQL,核对最终任务数,snapshot.json
S20,库存预留消耗,已出品消耗；待付仅预留,本轮SQL,合成配方下守恒；非实物盘点,snapshot.json
S21,120设备扫码,同桌及跨桌同时扫码,本轮HTTP,失败：SIM120-10；顺序恢复成功,scan-contention.json
S22,扫码控制组,12同桌/12异桌/12预建身份/12顺序,本轮数据库,并发3/12、顺序12/12,scan-contention.json
S23,多人加车,30桌4设备各加酒和食品,本轮HTTP,240次加车后每桌8份,run-final.json
S24,同桌争抢结账,每桌4人以相同版本同时结账,本轮HTTP,30受理90陈旧版本409；无重复单,run-final.json
S25,本桌31笔单,每笔10元、最早一笔仍未付,本轮DB+真实页面函数,失败：SIM120-06只显示300而非310,guest-120-guest-recovery.test.ts
S26,订单关联投诉,多轮订单选择,本轮页面函数,失败：SIM120-07只可选前8,guest-120-guest-recovery.test.ts
S27,请求限流后投诉,普通请求触发限制，窗口解除重开,本轮DB+微信VM,失败：SIM120-04旧429固化,guest-120-guest-recovery.test.ts
S28,要单据丢回执,网页请求已完成后回执丢失再试,本轮DB+网页回调,失败：SIM120-05重复服务单,guest-120-guest-recovery.test.ts
S29,店长兼服务员,8本人普通任务加跨区紧急投诉,本轮查询+页面选择器,失败：SIM120-08服务页遮挡；首页可绕行,audit-120-fulfillment.test.ts
S30,离店未解决投诉,无service.manage的员工客离翻台,本轮受限角色DB,失败：SIM120-09取消投诉无后续待办,audit-120-fulfillment.test.ts
S31,顾客确认处理完成,服务员工完成与顾客确认读回,复用同基线今日证据,已知SYS-319未在冻结基线修复,system-comprehensive-audit-20260921.md
S32,接单进度,acknowledged客户端展示,复用同基线今日证据,已知SYS-318,system-comprehensive-audit-20260921.md
S33,正常索取单据,6桌账单及原键补发,本轮HTTP+数据库,6打印任务无重复；离线虚拟打印机,snapshot.json
S34,预结账与结账,未付部分付已付、补打快照,本轮原有回归+新增异常,基本通过；异常见SIM120-02,combined-tests.log
S35,厨师停用交接,原批次设备所有人已停用,复用同基线今日证据,SYS-314；本轮不重报,system-comprehensive-audit-20260921.md
S36,重做与原批次收口,全部重做后旧板残留；换品未本轮独立重演,复用同基线今日证据,SYS-315；非120人体力演练,system-comprehensive-audit-20260921.md
S37,会员奖励售后,多笔付款与数量售后积分冲回,复用同基线今日证据,SYS-311—313；隔离复现不证明生产误账,system-comprehensive-audit-20260921.md
S38,支付终态恢复,旧购物车响应时原付款已终态,复用同基线今日证据,SYS-320,system-comprehensive-audit-20260921.md
S39,跨桌与扫码恢复,旧桌响应、新桌绑定、无效扫码,本轮149项VM回归,通过限定用例；非真机,mbox120-guest-mini-tests.log
S40,线上收退账核对,同一只读快照聚合,本轮生产只读,核对范围及历史处置边界保留，具体经营聚合受控保存,production-readonly.json
S41,线上库存核对,余额与流水及成本状态,本轮生产只读,数量账与实物区分，成本待核保持开放；具体聚合受控保存,production-readonly.json
S42,权限隔离,数据库实际账号与强制RLS,本轮生产只读+复用今日对照,SYS-310实际运行身份隔离验收未关闭；权限实测受控保存,production-readonly.json
S43,真实渠道清算,微信支付宝POS到账和渠道账单,未执行,待真实凭证核验,不以模拟款项代替
S44,实体单据,缺纸离线重打纸宽字库及客人收票,未执行,桥心跳历史信息不能证明在线或已打印,production-readonly.json
S45,实物与产能,实际配方库存盘点、走动出餐饮品时长,未执行,待现场；提供参数阈值而非产能承诺,主报告
S46,长时恢复,真实网络断开、重启切换、跨营业日连续120人,局部原有测试/未完整演练,不得宣称全链路连续高峰通过,主报告
