编号,优先级,本轮结论,动态证据,候选SHA
SIM120-01,P1,未修复，仍复现,40元套餐退品重算应收44元，尚欠4元，begin-closing及close仍200，桌次closed。部分付款再退品尚欠24元，资金阻断也为0,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-02,P2,未修复，仍复现,数量退款8元后再补偿1元，真实持久票据变预结账单并显示欠1元，收款列表却为空,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-03,P2,未修复，仍复现,原40元收16元、退品8元并退款8元，正确待收24元，日报只计16元，少8元,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-04,P1,未修复，仍复现,限流解除并重开小程序后，原键仍429、投诉任务0；新键控制201、任务1,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-05,P2,未修复，仍复现,网页丢失回执且员工已完成服务，重试换键生成completed与pending两项任务,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-06,P1,未修复，仍复现,31笔订单共310元，接口仅回30笔，小程序显示300元，并清除隐藏旧未付订单的本地恢复记录,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-07,P2,未修复，仍复现,投诉选择器仅8笔，最新第31笔不可选择；整桌投诉仍可提交,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-08,P2,未修复，仍复现,本人8项普通服务排在未分配给本人的紧急投诉之前，服务页8条截断后不显示紧急投诉；同area夹具未独立验证跨区条件，仍可从首页待办绕行,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-09,P1,未修复，仍复现,无service.manage的服务员通过客离翻台取消未解决投诉，移出管理活跃队列；保留取消历史不等于投诉闭环,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-10,P1,未修复，仍复现,同桌并发、异桌匿名并发、异桌已建身份并发各12次，均3成功、9个40001；失败请求均已尝试3次。顺序12/12成功,f8306c7718e011f451af5f0eb29f0e8e16dbd532
SIM120-11,P1,未修复，仍复现,当前真实三屏路由与现金命令并发：kitchen ready组出现40P01及厨房HTTP500；pickup take组出现40P01、现金命令回滚而取走200。冲突后各自原键重试可恢复，但首次死锁仍存在,f8306c7718e011f451af5f0eb29f0e8e16dbd532
