"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0001","src/components/CustomerPaymentCodeScanner.tsx","159","CustomerPaymentCodeScanner","form","{tableCode} · 本次收款 {amountLabel} × {cameraState === 'detected' ? <><CheckCircle2 size={20} />付款码已读取</> : cameraState === 'unavailable' ? <><ScanLine size={20} />请使用扫码枪或输入付款码</> : <><ScanLine size={20} />{cameraState === 'ready' ? '对准客户付款码' : '正在启动摄像头'}</>} {cameraDetail && <p role=""status"">{cameraDetail}</p>} 客户付款码 {code ? `已读取 ${code.length} 位` : '微信 / 支付宝 / 云闪付'} {error && <div className=""payment-code-error"" role=""alert""><CircleAlert size={15} />{error}</div>} {submitting ? '正在发起收款' : '确认发起收款'}","{""onSubmit"":""submit""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0002","src/components/CustomerPaymentCodeScanner.tsx","162","CustomerPaymentCodeScanner","button","×","{""onClick"":""onClose""}","submit","","","","所属表单：submit","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0003","src/components/CustomerPaymentCodeScanner.tsx","171","CustomerPaymentCodeScanner","input","","{""onChange"":""(event) => { setCode(event.target.value.replace(/\\s/g, '')); setError('') }""}","submit","","","","所属表单：submit","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0004","src/components/CustomerPaymentCodeScanner.tsx","184","CustomerPaymentCodeScanner","button","{submitting ? '正在发起收款' : '确认发起收款'}","{}","submit","","!code || submitting","","所属表单：submit","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0005","src/components/GuestRecommendationTools.tsx","273","GuestRecommendationTools","button","帮我快速选 回答三个小问题","{""onClick"":""openQuickSelection""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0006","src/components/GuestRecommendationTools.tsx","278","GuestRecommendationTools","button","摇一摇喝什么 给今晚一点灵感","{""onClick"":""openShake""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0007","src/components/GuestRecommendationTools.tsx","286","GuestRecommendationTools","button","关闭推荐","{""onClick"":""() => closeSheet()""}","","","","activeSheet","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0008","src/components/GuestRecommendationTools.tsx","305","GuestRecommendationTools","button","关闭快速选择","{""onClick"":""() => closeSheet()""}","","","","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0009","src/components/GuestRecommendationTools.tsx","316","GuestRecommendationTools","button","{option.label}","{""onClick"":""() => answerQuestion(option.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0010","src/components/GuestRecommendationTools.tsx","337","GuestRecommendationTools","button","soundEnabled ? '关闭推荐音效' : '开启推荐音效'","{""onClick"":""() => {\n                        setSoundEnabled((enabled) => !enabled)\n                        onInteraction?.('recommendation_sound_toggled', { enabled: !soundEnabled })\n                      }""}","","","","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0011","src/components/GuestRecommendationTools.tsx","350","GuestRecommendationTools","button","关闭摇一摇推荐","{""onClick"":""() => closeSheet()""}","","","","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0012","src/components/GuestRecommendationTools.tsx","377","GuestRecommendationTools","button","再摇一次","{""onClick"":""requestAnotherShake""}","","","!shakeAvailable","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0013","src/components/GuestRecommendationTools.tsx","380","GuestRecommendationTools","button","看看详情","{""onClick"":""() => {\n                      if (!shakeProduct) return\n                      closeSheet('product_action')\n                      onInteraction?.('recommendation_shake_product_opened', { productId: shakeProduct.id })\n                      onOpenProduct(shakeProduct)\n                    }""}","","","!shakeProduct","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0014","src/components/GuestRecommendationTools.tsx","393","GuestRecommendationTools","button","就选这个","{""onClick"":""() => {\n                      if (!shakeProduct) return\n                      closeSheet('product_action')\n                      onInteraction?.('recommendation_shake_product_chosen', { productId: shakeProduct.id })\n                      onChooseProduct(shakeProduct)\n                    }""}","","","!shakeProduct","activeSheet && activeSheet === 'quick'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0015","src/components/MenuOrderingWorkspace.tsx","820","MenuOrderingWorkspace","input","`${product.name}商品备注`","{""onChange"":""(event) => setItemNotes((current) => ({ ...current, [product.id]: event.target.value }))""}","","","checkoutBusy || cartReadOnly || cartMutating","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0016","src/components/MenuOrderingWorkspace.tsx","826","MenuOrderingWorkspace","button","第 {index+1} 份： {unit.groups.flatMap((selection)=>{ const group=(product.bundleChoiceGroups??[]).find((candidate)=>candidate.id===selection.groupId) return selection.productIds.map((id)=>group?.options.find((option)=>option.productId===id)?.name??'已选菜品') }).join('、')} · 修改","{""onClick"":""()=>editBundleUnit(product,index)""}","","","cartReadOnly||cartMutating","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0017","src/components/MenuOrderingWorkspace.tsx","837","MenuOrderingWorkspace","button","","{""onClick"":""() => removeProduct(product.id)""}","","","cartReadOnly || cartMutating","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0018","src/components/MenuOrderingWorkspace.tsx","839","MenuOrderingWorkspace","input","`${product.name}数量`","{""onFocus"":""(event) => event.currentTarget.select()"",""onChange"":""(event) => setProductQuantity(product.id, Number(event.target.value))""}","","","cartReadOnly || cartMutating","product.productKind!=='bundle'&&(product.maxOrderQuantity ?? 50)>50","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0019","src/components/MenuOrderingWorkspace.tsx","841","MenuOrderingWorkspace","button","","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartReadOnly || cartMutating","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0020","src/components/MenuOrderingWorkspace.tsx","848","MenuOrderingWorkspace","textarea","","{""onChange"":""(event) => setFulfillmentNote(event.target.value)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0021","src/components/MenuOrderingWorkspace.tsx","905","MenuOrderingWorkspace","button","{category.name}","{""onClick"":""() => {\n                if (guestSalesMode) changeGuestMenuView(category.id as typeof guestMenuViews[number]['id'])\n                else {\n                  setCategoryId(category.id)\n                  emitInteraction('category_viewed', { categoryId: category.id })\n                }\n              }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0022","src/components/MenuOrderingWorkspace.tsx","925","MenuOrderingWorkspace","button","{family.name}","{""onClick"":""() => {\n                setBeverageFamily(family.id)\n                emitInteraction('category_viewed', { categoryId: `drinks:${family.id}` })\n              }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0023","src/components/MenuOrderingWorkspace.tsx","971","MenuOrderingWorkspace","button","`查看${product.name}详情`","{""onClick"":""() => openProductDetail(product)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0024","src/components/MenuOrderingWorkspace.tsx","978","MenuOrderingWorkspace","button","`快速加入${product.name}`","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartMutating","status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0025","src/components/MenuOrderingWorkspace.tsx","986","MenuOrderingWorkspace","button","`查看${product.name}详情`","{""onClick"":""() => openProductDetail(product)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0026","src/components/MenuOrderingWorkspace.tsx","997","MenuOrderingWorkspace","button","{status.label}","{}","","","true","!status.orderable","固定不可操作的状态展示","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0027","src/components/MenuOrderingWorkspace.tsx","998","MenuOrderingWorkspace","button","{chooseLabel}","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0028","src/components/MenuOrderingWorkspace.tsx","1000","MenuOrderingWorkspace","button","`减少${product.name}`","{""onClick"":""() => changeQuantity(product.id, -1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0029","src/components/MenuOrderingWorkspace.tsx","1002","MenuOrderingWorkspace","button","`增加${product.name}`","{""onClick"":""() => changeQuantity(product.id, 1)""}","","","cartMutating","!status.orderable && quantity === 0","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0030","src/components/MenuOrderingWorkspace.tsx","1011","MenuOrderingWorkspace","button","看酒水","{""onClick"":""() => changeGuestMenuView('drinks')""}","","","","guestSalesMode && guestMenuView === 'recommend' && !searchQuery.trim()","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0031","src/components/MenuOrderingWorkspace.tsx","1012","MenuOrderingWorkspace","button","看小食","{""onClick"":""() => changeGuestMenuView('food')""}","","","","guestSalesMode && guestMenuView === 'recommend' && !searchQuery.trim()","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0032","src/components/MenuOrderingWorkspace.tsx","1017","MenuOrderingWorkspace","input","搜索菜单商品","{""onChange"":""(event) => setSearchQuery(event.target.value)"",""onKeyDown"":""(event) => {\n                  if (event.key === 'Escape') {\n                    setSearchQuery('')\n                    event.currentTarget.blur()\n                  }\n                }""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0033","src/components/MenuOrderingWorkspace.tsx","1034","MenuOrderingWorkspace","button","清除搜索","{""onClick"":""() => setSearchQuery('')""}","","","","searchQuery","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0034","src/components/MenuOrderingWorkspace.tsx","1051","MenuOrderingWorkspace","button","清除搜索","{""onClick"":""() => setSearchQuery('')""}","","","","(!guestSalesMode || guestMenuView !== 'recommend' || searchQuery.trim() || visibleProducts.length > 0) && visibleProducts.length === 0 && searchQuery","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0035","src/components/MenuOrderingWorkspace.tsx","1051","MenuOrderingWorkspace","button","清除分类，搜索全部商品","{""onClick"":""()=>setCategoryId('all')""}","","","","(!guestSalesMode || guestMenuView !== 'recommend' || searchQuery.trim() || visibleProducts.length > 0) && visibleProducts.length === 0 && categoryId!=='all'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0036","src/components/MenuOrderingWorkspace.tsx","1068","MenuOrderingWorkspace","button","`查看${product.name}详情`","{""onClick"":""() => openProductDetail(product)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0037","src/components/MenuOrderingWorkspace.tsx","1075","MenuOrderingWorkspace","button","`查看${product.name}详情`","{""onClick"":""() => openProductDetail(product)""}","","","","","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
